,HT,AT,SHT,AHT,+1.5,-1.5,OS,+>=-,target
406,Athletico-PR,Santos,1,0,1.35,2.8,1,1,0
407,América-MG,Coritiba,2,1,1.4,2.75,3,1,1
408,Atlético Mineiro,Ponte Preta,3,0,1.25,3.4,3,1,1
409,Vitória,Chapecoense,1,2,1.38,2.8,3,1,1
410,Corinthians,Botafogo,3,1,1.3,3.0,4,1,1
411,Figueirense,Internacional,3,2,1.48,2.45,5,1,1
412,Flamengo,São Paulo,2,2,1.42,2.55,4,1,1
413,Sport Recife,Fluminense,2,1,1.42,2.65,3,1,1
414,Grêmio,Cruzeiro,2,0,1.38,2.8,2,1,1
415,Palmeiras,América-MG,2,0,1.18,4.0,2,1,1
416,Chapecoense,Athletico-PR,0,0,1.48,2.4,0,1,0
417,Chapecoense,Athletico-PR,0,0,1.48,2.4,0,1,0
418,Botafogo,Figueirense,0,0,1.4,2.75,0,1,0
419,Santa Cruz,Flamengo,0,1,1.35,2.8,1,1,0
420,Atlético Mineiro,Corinthians,2,1,1.35,2.9,3,1,1
421,Grêmio,Vitória,1,2,1.28,3.3,3,1,1
422,São Paulo,Sport Recife,0,0,1.28,3.3,0,1,0
423,Coritiba,Internacional,1,1,1.42,2.65,2,1,1
424,Cruzeiro,Palmeiras,2,1,1.38,2.8,3,1,1
425,Corinthians,Santa Cruz,2,1,1.25,3.5,3,1,1
426,América-MG,Atlético Mineiro,0,1,1.28,3.2,1,1,0
427,Athletico-PR,Grêmio,2,0,1.45,2.45,2,1,1
428,Flamengo,Fluminense,1,2,1.42,2.65,3,1,1
429,Internacional,Botafogo,2,3,1.33,2.9,5,1,1
430,Santos,São Paulo,3,0,1.4,2.65,3,1,1
431,Vitória,Ponte Preta,1,1,1.35,2.8,2,1,1
432,Figueirense,Coritiba,0,0,1.45,2.45,0,1,0
433,Sport Recife,Chapecoense,5,1,1.38,2.8,6,1,1
434,Flamengo,Internacional,1,0,1.4,2.75,1,1,0
435,Grêmio,Santos,3,2,1.38,2.75,5,1,1
436,Vitória,Sport Recife,3,2,1.35,2.9,5,1,1
437,Chapecoense,Cruzeiro,3,2,1.42,2.65,5,1,1
438,Chapecoense,Cruzeiro,3,2,1.42,2.65,5,1,1
439,América-MG,Corinthians,0,2,1.42,2.55,2,1,1
440,São Paulo,Fluminense,2,1,1.42,2.55,3,1,1
441,Palmeiras,Figueirense,4,0,1.22,3.5,4,1,1
442,Santa Cruz,Ponte Preta,0,3,1.4,2.75,3,1,1
443,Atlético Mineiro,Botafogo,5,3,1.22,3.8,8,1,1
444,Fluminense,Coritiba,0,0,1.42,2.65,0,1,0
445,Athletico-PR,América-MG,1,0,1.3,3.1,1,1,0
446,Cruzeiro,Vitória,2,2,1.22,3.5,4,1,1
447,Internacional,Grêmio,0,1,1.42,2.55,1,1,0
448,Botafogo,Santa Cruz,2,1,1.3,3.2,3,1,1
449,Corinthians,Flamengo,4,0,1.42,2.55,4,1,1
450,Ponte Preta,São Paulo,1,0,1.42,2.55,1,1,0
451,Santos,Chapecoense,3,0,1.22,3.5,3,1,1
452,Figueirense,Atlético Mineiro,1,1,1.3,3.0,2,1,1
453,Sport Recife,Palmeiras,1,3,1.28,3.3,4,1,1
454,Chapecoense,Corinthians,0,2,1.42,2.6,2,1,1
455,Coritiba,Botafogo,0,0,1.35,2.8,0,1,0
456,Ponte Preta,Sport Recife,2,1,1.3,3.1,3,1,1
457,Flamengo,Atlético Mineiro,2,0,1.3,3.0,2,1,1
458,Grêmio,Figueirense,2,1,1.3,3.2,3,1,1
459,Santa Cruz,Internacional,1,0,1.42,2.55,1,1,0
460,São Paulo,América-MG,3,0,1.35,2.9,3,1,1
461,Vitória,Fluminense,0,0,1.28,3.3,0,1,0
462,Cruzeiro,Athletico-PR,0,3,1.3,3.2,3,1,1
463,Palmeiras,Santos,1,1,1.28,3.2,2,1,1
464,Botafogo,Flamengo,3,3,1.35,2.8,6,1,1
465,Botafogo,Flamengo,3,3,1.35,2.8,6,1,1
466,América-MG,Santa Cruz,0,3,1.45,2.55,3,1,1
467,Athletico-PR,Vitória,1,1,1.3,3.1,2,1,1
468,Corinthians,São Paulo,1,1,1.4,2.75,2,1,1
469,Figueirense,Chapecoense,1,1,1.45,2.55,2,1,1
470,Fluminense,Cruzeiro,2,0,1.4,2.75,2,1,1
471,Internacional,Palmeiras,0,1,1.35,2.85,1,1,0
