,HT,AT,SHT,AHT,+0.5,-0.5,+1.5,-1.5,+2.5,-2.5,+3.5,-3.5,OS
524,Athletico-PR,Botafogo,1,0,1.08,1.08,1.4,2.85,2.25,1.81,4.1,1.23,1
525,Fluminense,Figueirense,3,2,1.07,1.07,1.35,3.1,2.13,1.8,3.55,1.27,5
526,Botafogo,Grêmio,2,1,1.06,1.06,1.33,3.2,2.08,1.86,3.55,1.3,3
527,Botafogo,Fluminense,1,0,1.09,1.09,1.45,2.75,2.3,1.6,4.25,1.21,1
528,Figueirense,Athletico-PR,1,0,1.1,1.1,1.5,2.5,2.5,1.5,4.8,1.18,1
529,Santa Cruz,Chapecoense,2,2,1.09,1.09,1.42,2.85,2.25,1.63,4.0,1.23,4
530,Atlético Mineiro,Vitória,2,1,1.02,1.02,1.18,4.65,1.72,2.35,2.42,1.52,3
531,Atlético Mineiro,Vitória,2,1,1.02,1.02,1.18,4.65,1.72,2.35,2.42,1.52,3
532,Flamengo,Ponte Preta,2,1,1.06,1.06,1.33,3.35,2.14,1.85,3.35,1.3,3
533,Palmeiras,São Paulo,2,1,1.07,1.07,1.35,3.1,2.13,1.8,3.55,1.27,3
534,Corinthians,Sport Recife,3,0,1.05,1.05,1.3,3.55,1.98,1.97,3.2,1.33,3
535,América-MG,Cruzeiro,0,2,1.06,1.06,1.33,3.2,2.09,1.86,3.35,1.3,2
536,Internacional,Santos,2,1,1.08,1.08,1.4,2.85,2.35,1.69,4.1,1.23,3
537,Vitória,Flamengo,1,2,1.04,1.04,1.28,3.55,1.92,1.99,3.1,1.35,3
538,Chapecoense,Coritiba,1,0,1.08,1.08,1.42,2.85,2.25,1.63,4.0,1.23,1
539,São Paulo,Figueirense,3,1,1.06,1.06,1.3,3.35,2.05,1.89,3.2,1.32,4
540,Athletico-PR,Internacional,2,1,1.11,1.11,1.5,2.5,2.5,1.5,5.0,1.17,3
541,Cruzeiro,Botafogo,0,2,1.03,1.03,1.21,4.25,1.74,2.25,2.6,1.48,2
542,Santos,Corinthians,2,1,1.09,1.09,1.42,2.85,2.25,1.63,4.15,1.22,3
543,Sport Recife,Santa Cruz,5,3,1.07,1.07,1.38,3.0,2.19,1.77,3.8,1.25,8
544,Grêmio,Palmeiras,0,0,1.05,1.05,1.3,3.35,1.98,1.94,3.2,1.33,0
545,Ponte Preta,América-MG,1,1,1.07,1.07,1.35,3.2,2.07,1.84,3.55,1.27,2
546,Fluminense,Atlético Mineiro,4,2,1.04,1.04,1.23,4.0,1.84,2.16,2.85,1.4,6
547,Botafogo,Santos,0,1,1.06,1.06,1.3,3.55,2.0,1.96,3.2,1.33,1
548,Figueirense,América-MG,2,2,1.11,1.11,1.5,2.5,2.5,1.5,5.0,1.17,4
549,Ponte Preta,Grêmio,3,0,1.1,1.1,1.45,2.67,2.42,1.62,4.5,1.19,3
550,Santa Cruz,Athletico-PR,1,0,1.08,1.08,1.45,2.75,2.31,1.66,4.25,1.21,1
551,Coritiba,Corinthians,1,1,1.09,1.09,1.45,2.67,2.35,1.57,4.4,1.2,2
552,Palmeiras,Flamengo,1,1,1.06,1.06,1.3,3.35,2.02,1.92,3.35,1.3,2
553,Atlético Mineiro,Sport Recife,1,0,1.03,1.03,1.19,4.5,1.67,2.3,2.42,1.52,1
554,Fluminense,Chapecoense,1,2,1.07,1.07,1.38,3.1,2.13,1.8,3.7,1.26,3
555,Internacional,Vitória,0,1,1.05,1.05,1.28,3.55,1.91,2.01,3.1,1.35,1
556,São Paulo,Cruzeiro,1,0,1.07,1.07,1.38,3.0,2.23,1.75,3.8,1.25,1
557,Corinthians,Palmeiras,0,2,1.08,1.08,1.42,2.85,2.25,1.7,4.15,1.22,2
558,Flamengo,Figueirense,2,0,1.04,1.04,1.25,3.9,1.86,2.08,2.85,1.4,2
559,Athletico-PR,São Paulo,1,0,1.11,1.11,1.5,2.5,2.5,1.62,5.0,1.17,1
560,Chapecoense,Ponte Preta,2,2,1.09,1.09,1.42,2.85,2.42,1.72,4.1,1.23,4
561,Cruzeiro,Atlético Mineiro,1,1,1.05,1.05,1.28,3.55,1.96,2.02,3.2,1.33,2
562,Grêmio,Fluminense,0,1,1.08,1.08,1.4,3.0,2.26,1.69,3.9,1.24,1
563,Sport Recife,Coritiba,0,1,1.07,1.07,1.35,3.1,2.21,1.76,3.7,1.26,1
564,Santos,Santa Cruz,3,2,1.04,1.04,1.25,3.9,1.98,2.06,2.85,1.4,5
565,Vitória,Botafogo,0,1,1.05,1.05,1.28,3.55,2.02,2.02,3.1,1.35,1
566,América-MG,Internacional,1,0,1.09,1.09,1.43,2.75,2.49,1.65,4.15,1.22,1
567,Palmeiras,Coritiba,2,1,1.04,1.04,1.28,3.55,1.94,2.02,3.1,1.35,3
568,Sport Recife,Santos,1,0,1.07,1.07,1.35,3.1,2.2,1.74,3.7,1.26,1
569,América-MG,Botafogo,1,0,1.07,1.07,1.38,3.0,2.21,1.76,3.8,1.25,1
570,Athletico-PR,Ponte Preta,3,0,1.12,1.12,1.52,2.42,2.6,1.48,5.25,1.16,3
571,Figueirense,Santa Cruz,3,1,1.09,1.09,1.43,2.75,2.35,1.57,4.25,1.21,4
572,Flamengo,Cruzeiro,2,1,1.05,1.05,1.3,3.55,1.98,1.99,3.2,1.33,3
573,Grêmio,Chapecoense,1,0,1.07,1.07,1.38,3.0,2.19,1.75,3.8,1.25,1
574,Vitória,São Paulo,2,0,1.07,1.07,1.35,3.1,2.16,1.76,3.7,1.26,2
575,Atlético Mineiro,Internacional,3,1,1.06,1.06,1.3,3.35,2.0,1.91,3.2,1.32,4
576,Fluminense,Sport Recife,3,1,1.07,1.07,1.35,3.1,2.11,1.82,3.7,1.26,4
577,Chapecoense,Vitória,1,4,1.07,1.07,1.35,3.2,2.17,1.79,3.55,1.27,5
578,Santos,Athletico-PR,2,0,1.08,1.08,1.38,3.0,2.25,1.74,3.9,1.24,2
579,São Paulo,Flamengo,0,0,1.07,1.07,1.35,3.1,2.17,1.79,3.55,1.27,0
580,São Paulo,Flamengo,0,0,1.07,1.07,1.35,3.1,2.17,1.79,3.55,1.27,0
581,Ponte Preta,Atlético Mineiro,1,2,1.05,1.05,1.3,3.35,2.0,1.95,3.2,1.33,3
582,Cruzeiro,Grêmio,1,0,1.06,1.06,1.35,3.1,2.13,1.8,3.55,1.27,1
583,Internacional,Figueirense,1,0,1.07,1.07,1.35,3.2,2.14,1.83,3.55,1.27,1
584,Santa Cruz,Palmeiras,2,3,1.07,1.07,1.35,3.2,2.16,1.78,3.55,1.28,5
585,Coritiba,América-MG,3,0,1.07,1.07,1.35,3.2,2.28,1.76,3.55,1.27,3
586,Athletico-PR,Chapecoense,3,1,1.1,1.1,1.55,2.38,2.67,1.48,5.5,1.16,4
587,Vitória,Grêmio,0,1,1.07,1.07,1.38,3.0,2.14,1.79,3.8,1.25,1
588,Corinthians,Atlético Mineiro,0,0,1.05,1.05,1.3,3.35,2.0,1.93,3.2,1.33,0
589,Santos,Fluminense,2,1,1.07,1.07,1.35,3.1,2.08,1.86,3.7,1.26,3
590,Sport Recife,São Paulo,1,1,1.09,1.09,1.43,2.75,2.3,1.7,4.25,1.21,2
591,Internacional,Coritiba,1,0,1.1,1.1,1.5,2.5,2.5,1.5,5.0,1.17,1
592,Cruzeiro,Ponte Preta,2,0,1.05,1.05,1.28,3.55,2.02,2.09,3.1,1.35,2
593,América-MG,Palmeiras,0,2,1.05,1.05,1.28,3.55,1.98,1.97,3.1,1.35,2
594,Figueirense,Botafogo,0,1,1.09,1.09,1.45,2.67,2.38,1.66,4.5,1.2,1
595,Flamengo,Santa Cruz,3,0,1.02,1.02,1.2,4.5,1.72,2.3,2.42,1.52,3
596,Chapecoense,Sport Recife,3,0,1.07,1.07,1.35,3.1,2.12,1.83,3.7,1.26,3
597,Coritiba,Figueirense,0,0,1.08,1.08,1.38,3.0,2.23,1.72,3.8,1.25,0
598,Botafogo,Internacional,1,0,1.09,1.09,1.45,2.67,2.47,1.68,4.5,1.2,1
599,Santa Cruz,Corinthians,2,4,1.06,1.06,1.33,3.2,2.06,1.84,3.35,1.3,6
600,Atlético Mineiro,América-MG,3,0,1.03,1.03,1.21,4.25,1.73,2.25,2.6,1.48,3
601,Palmeiras,Cruzeiro,0,0,1.05,1.05,1.28,3.55,2.08,1.94,3.1,1.35,0
602,Ponte Preta,Vitória,2,0,1.05,1.05,1.3,3.55,1.93,1.98,3.1,1.35,2
603,Fluminense,Flamengo,1,2,1.07,1.07,1.38,3.0,2.21,1.72,3.8,1.25,3
604,Grêmio,Athletico-PR,1,0,1.09,1.09,1.48,2.6,2.47,1.62,4.65,1.18,1
605,São Paulo,Santos,0,1,1.09,1.09,1.42,2.85,2.26,1.72,4.15,1.22,1
606,Athletico-PR,Coritiba,2,0,1.12,1.12,1.57,2.35,2.75,1.45,5.75,1.15,2
607,Botafogo,Atlético Mineiro,3,2,1.07,1.07,1.35,3.1,2.12,1.8,3.7,1.26,5
608,Cruzeiro,Chapecoense,0,0,1.05,1.05,1.3,3.35,2.01,1.9,3.2,1.32,0
609,Figueirense,Palmeiras,1,2,1.07,1.07,1.38,3.1,2.17,1.77,3.7,1.26,3
610,Internacional,Flamengo,2,1,1.1,1.1,1.5,2.5,2.5,1.59,5.0,1.17,3
611,Corinthians,América-MG,2,0,1.04,1.04,1.25,3.8,1.83,2.08,2.85,1.4,2
612,Ponte Preta,Santa Cruz,3,0,1.05,1.05,1.3,3.35,1.98,1.94,3.2,1.33,3
613,Santos,Grêmio,1,1,1.07,1.07,1.38,3.0,2.17,1.75,3.8,1.25,2
614,Sport Recife,Vitória,1,0,1.05,1.05,1.28,3.7,2.04,1.89,3.0,1.38,1
615,Fluminense,São Paulo,1,2,1.08,1.08,1.4,3.0,2.29,1.68,3.9,1.24,3
616,Santa Cruz,Botafogo,0,1,1.06,1.06,1.3,3.55,2.06,1.91,3.2,1.33,1
617,São Paulo,Ponte Preta,2,0,1.08,1.08,1.42,2.85,2.28,1.71,4.0,1.23,2
618,Flamengo,Corinthians,2,2,1.06,1.06,1.33,3.2,2.04,1.89,3.55,1.28,4
619,Grêmio,Internacional,0,0,1.11,1.11,1.52,2.42,2.6,1.48,5.5,1.15,0
620,Palmeiras,Sport Recife,2,1,1.03,1.03,1.24,3.9,1.82,2.1,2.75,1.43,3
621,Vitória,Cruzeiro,0,1,1.06,1.06,1.33,3.2,2.09,1.82,3.55,1.28,1
622,Coritiba,Fluminense,1,1,1.09,1.09,1.43,2.75,2.25,1.63,4.25,1.21,2
623,Atlético Mineiro,Figueirense,3,0,1.03,1.03,1.24,3.9,1.82,2.09,2.75,1.43,3
624,Chapecoense,Santos,0,1,1.08,1.08,1.4,3.0,2.29,1.73,3.9,1.24,1
625,América-MG,Athletico-PR,1,0,1.12,1.12,1.55,2.38,2.6,1.63,5.5,1.16,1
626,Sport Recife,Ponte Preta,1,0,1.07,1.07,1.38,3.0,2.17,1.8,3.8,1.25,1
627,Fluminense,Vitória,2,2,1.03,1.03,1.23,4.1,1.83,2.08,2.75,1.43,4
628,Athletico-PR,Cruzeiro,1,0,1.1,1.1,1.5,2.5,2.5,1.5,5.0,1.17,1
629,Atlético Mineiro,Flamengo,2,2,1.04,1.04,1.24,3.9,1.9,2.03,2.85,1.4,4
630,Corinthians,Chapecoense,1,1,1.06,1.06,1.35,3.2,2.11,1.82,3.55,1.28,2
631,Botafogo,Coritiba,0,0,1.08,1.08,1.4,2.85,2.26,1.7,4.0,1.23,0
632,Internacional,Santa Cruz,1,1,1.05,1.05,1.3,3.35,2.02,1.93,3.2,1.32,2
633,Figueirense,Grêmio,0,0,1.09,1.09,1.48,2.6,2.38,1.55,4.5,1.2,0
634,Santos,Palmeiras,1,0,1.06,1.06,1.33,3.35,2.13,1.84,3.35,1.3,1
635,América-MG,São Paulo,1,0,1.09,1.09,1.45,2.67,2.4,1.69,4.5,1.2,1
636,Flamengo,Botafogo,0,0,1.06,1.06,1.35,3.2,2.11,1.83,3.55,1.28,0
637,São Paulo,Corinthians,4,0,1.09,1.09,1.43,2.75,2.33,1.65,4.25,1.21,4
638,São Paulo,Corinthians,4,0,1.09,1.09,1.43,2.75,2.33,1.65,4.25,1.21,4
639,Cruzeiro,Fluminense,4,2,1.07,1.07,1.38,3.1,2.12,1.79,3.7,1.26,6
640,Palmeiras,Internacional,1,0,1.08,1.08,1.4,2.85,2.28,1.7,4.0,1.23,1
641,Santa Cruz,América-MG,1,0,1.06,1.06,1.33,3.35,2.05,1.85,3.35,1.3,1
642,Vitória,Athletico-PR,3,2,1.08,1.08,1.4,3.0,2.25,1.71,3.9,1.24,5
643,Chapecoense,Figueirense,1,0,1.09,1.09,1.48,2.6,2.42,1.6,4.65,1.18,1
644,Coritiba,Atlético Mineiro,2,0,1.06,1.06,1.33,3.35,2.02,1.9,3.2,1.32,2
645,Grêmio,Sport Recife,0,3,1.09,1.09,1.42,2.85,2.36,1.71,4.15,1.22,3
646,Fluminense,Athletico-PR,1,1,1.07,1.07,1.35,3.2,2.14,1.82,3.55,1.27,2
647,Botafogo,Chapecoense,0,2,1.08,1.08,1.4,3.0,2.26,1.72,4.0,1.23,2
648,Coritiba,Santa Cruz,1,0,1.04,1.04,1.26,3.7,1.83,2.08,3.0,1.38,1
649,América-MG,Flamengo,0,1,1.05,1.05,1.3,3.35,2.02,1.94,3.2,1.33,1
650,Figueirense,Corinthians,1,1,1.08,1.08,1.42,2.85,2.33,1.66,4.1,1.23,2
651,Sport Recife,Cruzeiro,0,1,1.08,1.08,1.38,3.0,2.25,1.73,3.9,1.25,1
652,Santos,Vitória,3,2,1.02,1.02,1.19,4.5,1.69,2.35,2.42,1.52,5
653,São Paulo,Grêmio,1,1,1.1,1.1,1.48,2.6,2.42,1.64,4.65,1.18,2
654,Atlético Mineiro,Palmeiras,1,1,1.05,1.05,1.28,3.55,1.92,2.07,3.1,1.35,2
655,Internacional,Ponte Preta,1,1,1.08,1.08,1.42,2.85,2.35,1.68,4.15,1.22,2
656,Athletico-PR,Sport Recife,2,0,1.08,1.08,1.43,2.75,2.3,1.6,4.25,1.21,2
657,Cruzeiro,Santos,2,2,1.05,1.05,1.28,3.55,2.06,1.94,3.1,1.35,4
658,Grêmio,América-MG,3,0,1.06,1.06,1.35,3.1,2.08,1.9,3.55,1.3,3
659,Palmeiras,Botafogo,1,0,1.05,1.05,1.3,3.35,2.01,1.93,3.2,1.33,1
660,Ponte Preta,Fluminense,1,0,1.05,1.05,1.3,3.35,2.04,1.9,3.2,1.33,1
661,Vitória,Figueirense,4,0,1.05,1.05,1.28,3.7,1.9,2.04,3.0,1.38,4
662,Chapecoense,São Paulo,2,0,1.1,1.1,1.48,2.6,2.42,1.61,4.65,1.18,2
663,Flamengo,Coritiba,2,2,1.05,1.05,1.28,3.55,1.9,2.01,3.1,1.35,4
664,Santa Cruz,Atlético Mineiro,3,3,1.03,1.03,1.22,4.25,1.74,2.19,2.67,1.45,6
665,Corinthians,Internacional,1,0,1.09,1.09,1.48,2.6,2.42,1.65,4.8,1.18,1
666,América-MG,Sport Recife,2,2,1.08,1.08,1.4,3.0,2.2,1.73,3.9,1.24,4
667,Botafogo,Ponte Preta,1,1,1.07,1.07,1.35,3.1,2.11,1.8,3.7,1.26,2
668,Corinthians,Athletico-PR,0,0,1.08,1.08,1.4,2.85,2.25,1.63,4.1,1.23,0
669,Atlético Mineiro,São Paulo,1,2,1.05,1.05,1.28,3.7,1.9,2.03,3.0,1.38,3
670,Flamengo,Santos,2,0,1.05,1.05,1.28,3.7,1.95,2.0,3.1,1.35,2
671,Internacional,Cruzeiro,1,0,1.08,1.08,1.4,2.85,2.2,1.74,4.0,1.23,1
672,Palmeiras,Chapecoense,1,0,1.05,1.05,1.3,3.35,2.0,1.93,3.2,1.33,1
673,Figueirense,Fluminense,1,0,1.08,1.08,1.38,3.0,2.23,1.71,3.8,1.25,1
674,Santa Cruz,Grêmio,5,1,1.05,1.05,1.3,3.35,2.01,1.95,3.2,1.33,6
